type,prompt,options,correct,accepted_answers,explanation,image_url,active
mc,What is the primary ingredient used to make sake?,Barley|Rice|Wheat|Sorghum,2,,"Sake is brewed from polished rice, along with water, koji, and yeast.",,true
mc,"The Nada brewing district, famous for its 'miyamizu' water, is located near which city?",Niigata|Kyoto|Kobe|Hiroshima,3,,"Nada, in Hyogo Prefecture near Kobe, is Japan's largest sake-producing region, known for hard miyamizu water.",,true
mc,Which rice variety is often called the 'king of sake rice'?,Koshihikari|Yamada Nishiki|Gohyakumangoku|Omachi,2,,"Yamada Nishiki, first grown in Hyogo, is the most celebrated shuzo-kotekimai (sake-specific rice).",,true
mc,A 'nihonshu-do' (SMV) of +10 generally indicates a sake that is…,Very sweet|Very dry|Highly acidic|Low in alcohol,2,,Sake Meter Value measures density; higher positive numbers indicate a drier sake.,,true
mc,What is 'moromi' (醪)?,The main fermentation mash|Pressed sake lees|A wooden brewing vat|The rice-washing stage,1,,"Moromi is the main mash where rice, koji, water, and yeast ferment together over several weeks.",,true
mc,Which serving vessel is the small ceramic flask traditionally used to serve warmed sake?,Ochoko|Masu|Tokkuri|Guinomi,3,,The tokkuri is the flask; ochoko and guinomi are cups; a masu is the square cedar box.,,true
mc,Futsushu (普通酒) refers to…,Premium designation sake|Ordinary table sake without a special designation|Sparkling sake|Sake brewed only in winter,2,,"Futsushu is non-premium 'ordinary' sake, making up the majority of sake produced in Japan.",,true
mc,What does 'seimaibuai' (精米歩合) refer to?,Fermentation temperature|The rice polishing ratio|Alcohol by volume|Aging duration,2,,Seimaibuai is the percentage of the rice grain remaining after polishing — 60% means 40% has been milled away.,,true
mc,Junmai Daiginjo requires rice polished to at most what percentage remaining?,70%|60%|50%|40%,3,,Daiginjo classifications require a seimaibuai of 50% or less.,,true
mc,What is the role of koji (麹) in sake brewing?,Adds carbonation|Converts rice starch into fermentable sugar|Filters the moromi|Raises acidity for preservation,2,,Koji mold (Aspergillus oryzae) produces enzymes that break rice starch into sugars the yeast can ferment.,,true
mc,Which term describes sake that has NOT been pasteurized?,Genshu|Nigori|Namazake|Koshu,3,,"Namazake (生酒) is unpasteurized sake, prized for fresh, lively character — and it requires refrigeration.",,true
mc,'Genshu' (原酒) indicates a sake that is…,Undiluted with water|Cloudy and unfiltered|Aged over three years|Brewed with wild yeast,1,,"Genshu skips the customary dilution step, typically landing at 18–20% ABV.",,true
short_answer,What is the Japanese term for the rice-polishing ratio?,,,seimaibuai|精米歩合|seimai buai,Seimaibuai (精米歩合) is the percentage of the rice grain remaining after polishing.,,true
short_answer,Name the mold used in sake brewing to convert rice starch into fermentable sugar.,,,koji|kōji|koji-kin|koji kin|麹|aspergillus oryzae,"Koji (Aspergillus oryzae) produces the enzymes that saccharify rice starch — answers like ""kōji"" or ""koji-kin"" also count.",,true
mc,What piece of brewing equipment is pictured here?,Pasteurization Machine|Pressing Machine|Rice Cooling Machine|Rice Milling Machine,2,,"This is an automatic pressing machine (assaku-ki, often called a Yabuta after the leading manufacturer). At the end of fermentation the moromi is pumped into its accordion-like panels, which squeeze the finished sake away from the kasu (lees).",https://szsjicthbcyqgjnwqlib.supabase.co/storage/v1/object/public/question-images/pressing-machine.jpg,true
mc,Which vessel is traditionally used to steam rice in a sake brewery?,Koshiki|Taru|Masu|Tokkuri,1,,"Rice is steamed in a koshiki — traditionally a large wooden tub set over a kettle, now often stainless steel. A taru is a cask, a masu is a measuring box, and a tokkuri is a serving flask.",,true
mc,What is the name of the yeast starter used to begin sake fermentation?,Shubo (moto)|Moromi|Amazake|Nigori,1,,The shubo (also called moto) is a concentrated yeast starter built before the main mash — the moromi is the main fermentation that follows.,,true
short_answer,What do brewers call the pressed lees left over after sake is separated from the mash?,,,kasu|sake kasu|sakekasu|酒粕,"Sake kasu — the pressed lees — is prized for cooking, pickling, and baking.",,true
